pageUrl,name,category,description,logo,getStarted,EITMLI18,url,useCases,isOpenSource
azure,Microsoft Azure,Cloud Platform,"Microsoft Azure is a cloud computing platform offering a wide range of services including virtual computing, storage, analytics, and networking.",https://brandlogos.net/wp-content/uploads/2022/07/microsoft_azure-logo_brandlogos.net_mlyt6-512x512.png,https://learn.microsoft.com/en-us/azure/azure-portal/azure-portal-quickstart-center,"Azure is a comprehensive cloud platform that provides a vast array of services for building, deploying, and managing applications and services through Microsoft-managed data centers.",https://azure.microsoft.com,"- Cloud computing
- Web hosting
- Data analytics",false
gcp,Google Cloud Platform (GCP),Cloud Platform,"Google Cloud Platform is a set of cloud computing services that Google offers, including virtual machines, storage, networking, and more",https://brandlogos.net/wp-content/uploads/2022/07/google_cloud-logo_brandlogos.net_qxnsy-512x512.png,https://cloud.google.com/docs/get-started,"GCP provides a set of cloud computing services that run on Google's infrastructure, allowing you to build, test, and deploy applications on a highly scalable and reliable platform.",https://cloud.google.com,"- Cloud storage
- Machine learning
- Big data processing",false
aws,Amazon Web Services (AWS),Cloud Platform,"AWS offers a broad set of global cloud-based products including compute, storage, databases, analytics, networking, mobile, developer tools, and IoT.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/aws.png,https://aws.amazon.com/getting-started/,"AWS provides a vast array of cloud services that allow you to build sophisticated, scalable applications with increased flexibility, security and reliability.",https://aws.amazon.com,"- Cloud computing
- Database management
- Content delivery",false
lambda,AWS Lambda,Compute,"AWS Lambda lets you run code without provisioning or managing servers, executing code only when needed and scaling automatically.",https://icon.icepanel.io/AWS/svg/Compute/Lambda.svg,https://docs.aws.amazon.com/lambda/latest/dg/getting-started.html,"Lambda is like a magic function in the cloud that runs your code automatically in response to events, without you having to worry about servers or scaling.",https://aws.amazon.com/lambda,"- Serverless computing
- Event-driven applications
- Microservices",false
azure-functions,Azure Functions,Compute,"Azure Functions is a serverless solution that allows you to write less code, maintain less infrastructure, and save on costs.",https://nrphlnibzuquhuzswkqv.supabase.co/storage/v1/object/public/engineeringtools/functions.svg,https://docs.microsoft.com/en-us/azure/azure-functions/functions-overview,"Azure Functions is like having small pieces of code that wake up and do their job whenever they're needed, without you having to manage any servers.",https://azure.microsoft.com/en-us/products/functions,"- Serverless computing
- Event processing
- Background tasks",false
docker,Docker,Containerization,"Docker is a platform for developing, shipping, and running applications in containers, ensuring consistency across different environments.",https://cdn4.iconfinder.com/data/icons/logos-and-brands/512/97_Docker_logo_logos-512.png,https://docs.docker.com/get-started/,"Docker allows you to package your application and all its dependencies into a standardized unit called a container, making it easy to deploy and run your software on any system.",https://www.docker.com,"- Application containerization
- Microservices
- DevOps",true
segment,Segment,Customer Data Platform,"Segment is a customer data platform that helps you collect, clean, and control your customer data.",https://media.graphassets.com/ZYqNOo1hTVy0djlkIgHA,https://segment.com/docs/,"Segment is like a central hub for all your customer data, helping you collect information from various sources and send it to the tools you use for marketing, analytics, and more.",https://segment.com,"- Customer data collection
- Data integration
- Marketing analytics",false
iceberg,Apache Iceberg,Data Format,Apache Iceberg is a table format for large analytic datasets that provides high performance and reliability for data lakes.,https://py.iceberg.apache.org/assets/images/iceberg-logo-icon.png,https://iceberg.apache.org/spark-quickstart/,"Iceberg is a modern table format for data lakes that allows you to manage large analytical datasets with improved performance, reliability, and features like schema evolution and time travel.",https://iceberg.apache.org,"- Data lake management
- Analytics
- Large-scale data processing",true
json,JSON,Data Format,JSON (JavaScript Object Notation) is a lightweight data-interchange format that is easy for humans to read and write and easy for machines to parse and generate.,https://www.json.org/img/json160.gif,https://www.w3schools.com/js/js_json_intro.asp,"JSON is like a universal language for data, providing a simple way to store and exchange information that both humans and computers can understand easily.",https://www.json.org,"- Data interchange
- Configuration files
- API responses",true
xml,XML,Data Format,XML (eXtensible Markup Language) is a markup language that defines a set of rules for encoding documents in a format that is both human-readable and machine-readable.,https://www.svgrepo.com/show/31053/xml.svg,https://www.w3schools.com/xml/default.asp,"XML is like a versatile container for data, allowing you to structure information in a way that's meaningful for both humans and computers, often used for config files and data exchange.",https://www.w3schools.com/xml/xml_whatis.asp,"- Data interchange
- Configuration files
- Web services",true
